"id_zone";"INSEE_C";"LIBGEO";"EPCI";"DEP";"REG";"loypredm2";"lwr.IPm2";"upr.IPm2";"TYPPRED";"nbobs_com";"nbobs_mail";"R2_adj"
"1577";"95229";"Ézanville";"200056380";"95";"11";17,3646136198899;12,1193765944179;24,8799766076209;"maille";46;486;0,736709038855233
"1577";"95585";"Sarcelles";"200055655";"95";"11";17,3646136198899;12,1193765944179;24,8799766076209;"maille";86;486;0,736709038855233
"1577";"95019";"Arnouville";"200055655";"95";"11";17,3646136198899;12,1193765944179;24,8799766076209;"maille";58;486;0,736709038855233
"1577";"95205";"Écouen";"200055655";"95";"11";17,3646136198899;12,1193765944179;24,8799766076209;"maille";71;486;0,736709038855233
"1601";"95476";"Osny";"249500109";"95";"11";16,3921936740034;12,3030575800485;21,8404255769548;"commune";147;721;0,790222464339122
"1601";"95142";"Chars";"200035970";"95";"11";14,1459250662323;10,6070757918369;18,8654441531812;"maille";64;721;0,790222464339122
"1601";"95625";"Us";"200035970";"95";"11";14,1459250662323;10,6070757918369;18,8654441531812;"maille";23;721;0,790222464339122
"1601";"95348";"Longuesse";"200035970";"95";"11";14,1459250662323;10,6070757918369;18,8654441531812;"maille";10;721;0,790222464339122
"1601";"95592";"Seraincourt";"200035970";"95";"11";14,1459250662323;10,6070757918369;18,8654441531812;"maille";34;721;0,790222464339122
"1601";"95535";"Sagy";"200035970";"95";"11";14,1459250662323;10,6070757918369;18,8654441531812;"maille";36;721;0,790222464339122
"1601";"95127";"Cergy";"249500109";"95";"11";16,4987764256495;12,3861112742094;21,977004526866;"commune";274;721;0,790222464339122
"1601";"95510";"Puiseux-Pontoise";"249500109";"95";"11";14,1459250662323;10,6070757918369;18,8654441531812;"maille";1;721;0,790222464339122
"1601";"95169";"Commeny";"200035970";"95";"11";14,1459250662323;10,6070757918369;18,8654441531812;"maille";15;721;0,790222464339122
"1601";"95610";"Théméricourt";"200035970";"95";"11";14,1459250662323;10,6070757918369;18,8654441531812;"maille";10;721;0,790222464339122
"1601";"95166";"Cléry-en-Vexin";"200035970";"95";"11";14,1459250662323;10,6070757918369;18,8654441531812;"maille";4;721;0,790222464339122
"1601";"95054";"Le Bellay-en-Vexin";"200035970";"95";"11";14,1459250662323;10,6070757918369;18,8654441531812;"maille";15;721;0,790222464339122
"1601";"95341";"Livilliers";"249500430";"95";"11";14,1459250662323;10,6070757918369;18,8654441531812;"maille";6;721;0,790222464339122
"1603";"95063";"Bezons";"200058519";"95";"11";16,7506270603355;11,3073585150896;24,8142399075794;"commune";161;481;0,759439918014712
"1647";"95580";"Saint-Witz";"200055655";"95";"11";12,6556357246537;10,0807828816488;15,8881624051935;"maille";52;517;0,898813438667717
"1784";"95637";"Vauréal";"249500109";"95";"11";15,3137941381871;11,7021619780373;20,040082452021;"maille";74;556;0,843781409348332
"1784";"95218";"Éragny";"249500109";"95";"11";15,3137941381871;11,7021619780373;20,040082452021;"maille";94;556;0,843781409348332
"1784";"95388";"Menucourt";"249500109";"95";"11";15,3137941381871;11,7021619780373;20,040082452021;"maille";47;556;0,843781409348332
"1784";"95183";"Courdimanche";"249500109";"95";"11";15,3137941381871;11,7021619780373;20,040082452021;"maille";46;556;0,843781409348332
"1784";"95450";"Neuville-sur-Oise";"249500109";"95";"11";15,3137941381871;11,7021619780373;20,040082452021;"maille";23;556;0,843781409348332
"1784";"95500";"Pontoise";"249500109";"95";"11";16,6709867560165;12,7253524732461;21,8400079686266;"commune";185;556;0,843781409348332
"1784";"95170";"Condécourt";"200035970";"95";"11";15,3137941381871;11,7021619780373;20,040082452021;"maille";10;556;0,843781409348332
"1840";"95088";"Bonneuil-en-France";"200055655";"95";"11";18,0026687889574;12,4036534651545;26,129082405872;"maille";12;486;0,786554073433076
"1840";"95633";"Vaudherland";"200055655";"95";"11";18,0026687889574;12,4036534651545;26,129082405872;"maille";1;486;0,786554073433076
"1840";"95094";"Bouqueval";"200055655";"95";"11";18,0026687889574;12,4036534651545;26,129082405872;"maille";1;486;0,786554073433076
"1840";"95277";"Gonesse";"200055655";"95";"11";18,0026687889574;12,4036534651545;26,129082405872;"maille";79;486;0,786554073433076
"1841";"95352";"Luzarches";"200073013";"95";"11";17,080804090503;13,3182531383387;21,906316492685;"maille";57;483;0,871223986287629
"1841";"95365";"Mareil-en-France";"200073013";"95";"11";17,080804090503;13,3182531383387;21,906316492685;"maille";2;483;0,871223986287629
"1841";"95504";"Presles";"249500455";"95";"11";17,080804090503;13,3182531383387;21,906316492685;"maille";46;483;0,871223986287629
"1841";"95566";"Saint-Martin-du-Tertre";"200073013";"95";"11";17,080804090503;13,3182531383387;21,906316492685;"maille";26;483;0,871223986287629
"1841";"95493";"Le Plessis-Luzarches";"200073013";"95";"11";17,080804090503;13,3182531383387;21,906316492685;"maille";3;483;0,871223986287629
"1841";"95149";"Chaumontel";"200073013";"95";"11";17,080804090503;13,3182531383387;21,906316492685;"maille";27;483;0,871223986287629
"1841";"95331";"Lassy";"200073013";"95";"11";17,080804090503;13,3182531383387;21,906316492685;"maille";8;483;0,871223986287629
"1841";"95353";"Maffliers";"200073013";"95";"11";17,080804090503;13,3182531383387;21,906316492685;"maille";29;483;0,871223986287629
"1841";"95652";"Viarmes";"200073013";"95";"11";17,080804090503;13,3182531383387;21,906316492685;"maille";70;483;0,871223986287629
"1841";"95604";"Survilliers";"200055655";"95";"11";17,080804090503;13,3182531383387;21,906316492685;"maille";40;483;0,871223986287629
"1841";"95436";"Mours";"249500489";"95";"11";17,080804090503;13,3182531383387;21,906316492685;"maille";4;483;0,871223986287629
"1841";"95250";"Fosses";"200055655";"95";"11";17,080804090503;13,3182531383387;21,906316492685;"maille";59;483;0,871223986287629
"1841";"95660";"Villaines-sous-Bois";"200073013";"95";"11";17,080804090503;13,3182531383387;21,906316492685;"maille";11;483;0,871223986287629
"1841";"95316";"Jagny-sous-Bois";"200073013";"95";"11";17,080804090503;13,3182531383387;21,906316492685;"maille";5;483;0,871223986287629
"1841";"95055";"Bellefontaine";"200073013";"95";"11";17,080804090503;13,3182531383387;21,906316492685;"maille";24;483;0,871223986287629
"1841";"95452";"Nointel";"249500489";"95";"11";17,080804090503;13,3182531383387;21,906316492685;"maille";9;483;0,871223986287629
"1841";"95594";"Seugy";"200073013";"95";"11";17,080804090503;13,3182531383387;21,906316492685;"maille";16;483;0,871223986287629
"1881";"95074";"Boisemont";"249500109";"95";"11";15,9672880602779;12,3013646320122;20,7256914681172;"maille";43;636;0,902030438091031
"1927";"95268";"Garges-lès-Gonesse";"200055655";"95";"11";17,494904093443;12,8949231681185;23,7358272901929;"maille";61;1150;0,781019998201674
"2014";"95427";"Montmagny";"200056380";"95";"11";17,1890636224786;10,3581081427123;28,5248912394775;"maille";65;544;0,594800084739918
"255";"95409";"Moisselles";"200056380";"95";"11";15,9909315408206;12,4703666853345;20,5054027676614;"maille";22;674;0,832835730140129
"255";"95051";"Beauchamp";"200058485";"95";"11";15,9909315408206;12,4703666853345;20,5054027676614;"maille";67;674;0,832835730140129
"255";"95607";"Taverny";"200058485";"95";"11";17,4285305035998;13,5741914207096;22,377294241739;"commune";158;674;0,832835730140129
"255";"95256";"Frépillon";"200058485";"95";"11";15,9909315408206;12,4703666853345;20,5054027676614;"maille";36;674;0,832835730140129
"255";"95678";"Villiers-Adam";"249500455";"95";"11";15,9909315408206;12,4703666853345;20,5054027676614;"maille";3;674;0,832835730140129
"255";"95430";"Montsoult";"200073013";"95";"11";15,9909315408206;12,4703666853345;20,5054027676614;"maille";25;674;0,832835730140129
"255";"95392";"Mériel";"249500455";"95";"11";15,9909315408206;12,4703666853345;20,5054027676614;"maille";44;674;0,832835730140129
"255";"95042";"Baillet-en-France";"200073013";"95";"11";15,9909315408206;12,4703666853345;20,5054027676614;"maille";23;674;0,832835730140129
"255";"95120";"Butry-sur-Oise";"249500430";"95";"11";15,9909315408206;12,4703666853345;20,5054027676614;"maille";20;674;0,832835730140129
"255";"95491";"Le Plessis-Bouchard";"200058485";"95";"11";15,9909315408206;12,4703666853345;20,5054027676614;"maille";60;674;0,832835730140129
"255";"95445";"Nerville-la-Forêt";"249500455";"95";"11";15,9909315408206;12,4703666853345;20,5054027676614;"maille";12;674;0,832835730140129
"255";"95563";"Saint-Leu-la-Forêt";"200058485";"95";"11";16,6515744900777;12,9841980020254;21,3547985755728;"commune";126;674;0,832835730140129
"255";"95628";"Valmondois";"249500430";"95";"11";15,9909315408206;12,4703666853345;20,5054027676614;"maille";11;674;0,832835730140129
"255";"95039";"Auvers-sur-Oise";"249500430";"95";"11";15,9909315408206;12,4703666853345;20,5054027676614;"maille";67;674;0,832835730140129
